model,layer,probe,dataset_name,data_config,task,acc,class_accs,class_names
CLIP,layer_8,linear,RAVEN,center_single,Size,0.54,"[0.4901, 0.4598, 0.7387, 0.4794]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_8,linear,RAVEN,in_center_single_out_center_single,Size_1,0.4015,"[0.1452, 0.3433, 0.7642, 0.3827]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_8,linear,RAVEN,in_center_single_out_center_single,Type_1,0.479,"[0.5962, 0.4475, 0.3881]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_8,linear,RAVEN,in_center_single_out_center_single,Type_0,0.7715,"[0.9389, 0.6293, 0.7532]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_8,linear,RAVEN,in_center_single_out_center_single,Size_0,0.476,"[0.4295, 0.0, 0.7793]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_8,linear,RAVEN,in_center_single_out_center_single,Color_1,0.4615,"[0.3267, 0.539, 0.614, 0.364]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_8,linear,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
CLIP,layer_8,MLP,RAVEN,center_single,Color,0.762,"[0.7236, 0.6239, 0.8021, 0.8998]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_8,MLP,RAVEN,center_single,Type,0.8955,"[0.939, 0.9269, 0.8212]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_8,MLP,RAVEN,center_single,Size,0.6865,"[0.6601, 0.8142, 0.8519, 0.4115]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_8,MLP,RAVEN,in_center_single_out_center_single,Size_1,0.4675,"[0.3804, 0.5403, 0.7118, 0.2596]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_8,MLP,RAVEN,in_center_single_out_center_single,Type_1,0.548,"[0.6647, 0.4155, 0.5586]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_8,MLP,RAVEN,in_center_single_out_center_single,Type_0,0.9135,"[0.9624, 0.8941, 0.8873]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_8,MLP,RAVEN,in_center_single_out_center_single,Size_0,0.569,"[0.602, 0.2512, 0.7066]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_8,MLP,RAVEN,in_center_single_out_center_single,Color_1,0.5265,"[0.4589, 0.379, 0.8172, 0.4642]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_8,MLP,RAVEN,in_center_single_out_center_single,Color_0,1.0,[1.0],['Constant']
CLIP,layer_6,linear,RAVEN,center_single,Color,0.6005,"[0.6636, 0.6723, 0.6165, 0.4438]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_6,linear,RAVEN,center_single,Type,0.629,"[0.6682, 0.4612, 0.7541]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_6,linear,RAVEN,center_single,Size,0.5485,"[0.5138, 0.5211, 0.6955, 0.4671]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_6,linear,RAVEN,in_center_single_out_center_single,Size_1,0.4135,"[0.1391, 0.4709, 0.7489, 0.3173]","['Constant', 'Progression', 'Arithmetic', 'Distribute_Three']"
CLIP,layer_6,linear,RAVEN,in_center_single_out_center_single,Type_1,0.4555,"[0.6122, 0.4247, 0.3227]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_6,linear,RAVEN,in_center_single_out_center_single,Type_0,0.7215,"[0.848, 0.6172, 0.7047]","['Constant', 'Progression', 'Distribute_Three']"
CLIP,layer_6,linear,RAVEN,in_center_single_out_center_single,Size_0,0.4455,"[0.3703, 0.0, 0.7615]","['Constant', 'Progression', 'Distribute_Three']"
